CustomerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,119.4,8617.01,No
CUST0002,Male,0,Yes,Yes,72,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer,75.14,5391.6,No
CUST0003,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,66.48,489.05,No
CUST0004,Female,0,Yes,No,17,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,80,1378.95,Yes
CUST0005,Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,93.85,1227.84,No
CUST0006,Male,0,Yes,Yes,17,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,71.09,1226.17,No
CUST0007,Female,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,100.7,121.84,Yes
CUST0008,Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,66.62,212.09,Yes
CUST0009,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,98.8,2859.02,No
CUST0010,Male,0,No,No,1,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,79.17,85.1,No
CUST0011,Male,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,94.9,3243.04,Yes
CUST0012,Male,0,Yes,Yes,0,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card,81.9,7.14,Yes
CUST0013,Male,0,Yes,No,6,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,74.58,454.06,No
CUST0014,Male,0,Yes,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.49,1821.42,No
CUST0015,Male,0,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,67.92,2708.39,Yes
CUST0016,Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,102.91,892.72,Yes
CUST0017,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,112.39,0,Yes
CUST0018,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,121.96,8762.93,No
CUST0019,Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,38.53,711.01,Yes
CUST0020,Male,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,66.1,393.38,Yes
CUST0021,Female,0,Yes,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,25.22,60.97,No
CUST0022,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.8,208.61,No
CUST0023,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer,114.13,6179.97,Yes
CUST0024,Male,0,No,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,92.04,13.13,No
CUST0025,Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,112.11,1046.93,Yes
CUST0026,Female,0,No,No,6,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,101.05,617.06,No
CUST0027,Female,0,No,No,5,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,67.65,347.9,No
CUST0028,Female,1,Yes,Yes,59,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,72.37,4268.37,No
CUST0029,Male,1,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.07,287.65,No
CUST0030,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,35.29,71.61,No
CUST0031,Male,0,Yes,Yes,29,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,76.52,2224.22,No
CUST0032,Female,0,No,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,106.42,4059.14,No
CUST0033,Female,0,No,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,102.93,1.6,Yes
CUST0034,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,96.35,293.38,Yes
CUST0035,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.24,833.19,Yes
CUST0036,Female,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,34.14,67.37,Yes
